city_area,state,ufo_shape,encounter_length,date_documented,latitude,longitude,date
harbor springs,mi,oval,180.0,8/5/2001,45.4316667,-84.9919444,07-03-1997
salem,mo,disk,10.0,12/12/2009,37.6455556,-91.5358333,07-18-2008
cary,nc,oval,300.0,5/13/2012,35.7913889,-78.7813889,03-03-2012
boise,id,light,1500.0,1/12/2012,43.6136111,-116.2025,12-24-2011
new church,va,sphere,1800.0,2/16/2000,37.9788889,-75.5313889,01-15-1992
seattle,wa,sphere,2.0,12/12/2011,47.6063889,-122.3308333,11-15-2011
plymouth,in,triangle,120.0,10/20/2005,41.3436111,-86.3097222,11-09-1996
flint,mi,triangle,10.0,11/20/2002,43.0125,-83.6875,10-29-2000
olive branch,ms,other,2.0,10/30/2006,34.9616667,-89.8294444,10-19-2006
grand junction,co,triangle,10.0,3/21/2003,39.0638889,-108.55,03-08-2003
bloomington,il,light,20.0,8/28/2002,40.4841667,-88.9936111,08-22-2002
coral gables,fl,diamond,60.0,5/13/2012,25.7211111,-80.2686111,03-24-2011
natchitoches,la,triangle,5.0,8/30/2013,31.7605556,-93.0861111,12-01-2011
dayville,ct,other,900.0,4/16/2005,41.8463889,-71.8880556,04-04-2005
otis (reservoir),ma,disk,1200.0,5/27/2003,42.1930556,-73.0922222,06-15-1977
nokomis,fl,rectangle,1800.0,3/19/2009,27.1188889,-82.4444444,03-14-2009
cheney,wa,triangle,300.0,7/4/2012,47.4875,-117.5747222,06-28-2012
centralia,wa,cigar,5.0,10/10/2011,46.7163889,-122.9530556,09-20-2011
staunton,va,light,633.0,8/30/2013,38.1494444,-79.0719444,08-21-2013
cedar city,ut,other,30.0,5/12/2009,37.6775,-113.0611111,10-15-2008
waterford,mi,sphere,1200.0,2/14/2006,42.7022222,-83.4027778,10-04-2005
pueblo west,co,triangle,900.0,8/28/2003,38.35,-104.7222222,05-15-1998
haslett,mi,light,1200.0,11/28/2007,42.7469444,-84.4011111,10-20-2007
cupertino,ca,sphere,600.0,8/12/2008,37.3230556,-122.0311111,10-01-1996
west fargo,nd,sphere,900.0,10/30/2006,46.8772222,-96.7894444,01-15-2000
highlands ranch,co,formation,10.0,4/18/2012,39.5538889,-104.9688889,09-10-2001
las vegas,nv,rectangle,15.0,9/26/1998,36.175,-115.1363889,04-08-1997
richardson,tx,triangle,2700.0,6/27/2011,32.9480556,-96.7294444,06-25-2011
medford,ma,other,420.0,10/30/2012,42.4183333,-71.1066667,09-29-2012
jacobstown,nj,cone,300.0,8/30/2013,40.0758333,-74.5836111,07-26-2013
big lake,mn,sphere,120.0,10/8/2007,45.3325,-93.7458333,05-31-2007
straughn,in,light,3.0,8/10/1999,39.8088889,-85.2913889,07-16-1999
henderson,nv,sphere,1.0,1/12/2012,36.0397222,-114.9811111,12-17-2011
miami,ok,oval,120.0,10/31/2008,36.8744444,-94.8772222,10-12-1999
choctaw,ok,disk,2.5,11/11/2013,35.4975,-97.2686111,10-23-2013
coto de caza,ca,other,15.0,11/28/2007,33.6041667,-117.5861111,11-19-2007
front royal,va,light,30.0,5/15/2013,38.9180556,-78.1947222,04-12-2013
presidio (rural&#44 15 miles sw of),tx,other,18000.0,7/25/2004,29.5605556,-104.3716667,07-07-1985
randolph,nh,light,2700.0,10/11/2005,44.3752778,-71.2802778,09-22-2005
sparland,il,circle,120.0,5/2/2011,41.0286111,-89.4383333,04-09-2011
fairbanks,ak,cigar,180.0,6/2/1998,64.8377778,-147.7163889,11-23-1993
charlotte,nc,formation,60.0,12/12/2011,35.2269444,-80.8433333,11-03-2011
eureka,ca,fireball,60.0,4/13/2010,40.8022222,-124.1625,03-06-2010
st. charles,mo,sphere,600.0,7/14/2013,38.7838889,-90.4811111,07-04-2013
bensalem,pa,formation,7200.0,10/31/2008,40.1044444,-74.9516667,05-01-1986
parma,oh,egg,30.0,4/24/2014,41.4047222,-81.7230556,04-19-2014
pleasant hill,ca,sphere,180.0,8/30/2013,37.9480556,-122.0597222,10-30-1987
clayton,de,triangle,900.0,4/16/2005,39.2905556,-75.6347222,02-19-2005
sioux city,ia,light,180.0,10/10/2011,42.5,-96.4,09-10-2011
kennesaw,ga,light,300.0,4/13/2010,34.0233333,-84.6155556,09-24-2009
edmonds,wa,light,1800.0,3/19/2002,47.8108333,-122.3761111,03-01-2002
east patchogue,ny,oval,360.0,12/3/2004,40.7669444,-72.9966667,11-07-2004
coleman,wi,circle,2.0,8/12/2001,45.065,-88.0341667,07-31-2001
new rochelle,ny,oval,45.0,10/12/2001,40.9113889,-73.7827778,07-01-1978
rogers,mn,light,180.0,10/30/2006,45.1888889,-93.5527778,09-25-2006
ione,wa,fireball,1.5,1/31/2011,48.7411111,-117.4161111,01-18-2011
el cajon,ca,triangle,720.0,2/14/2010,32.7947222,-116.9616667,01-01-2010
noblesville,in,light,180.0,3/23/2004,40.0455556,-86.0086111,03-18-2004
denver,co,light,45.0,2/18/2001,39.7391667,-104.9841667,02-04-2001
rodman,ny,light,15.0,10/30/2006,43.8511111,-75.9411111,08-26-2006
conover,nc,light,3600.0,2/18/2013,35.7063889,-81.2188889,02-04-2013
madison,wi,light,600.0,9/28/2002,43.0730556,-89.4011111,03-03-2001
holiday island,ar,triangle,600.0,2/14/2010,36.4852778,-93.7319444,01-14-2010
los angeles,ca,triangle,60.0,12/14/2004,34.0522222,-118.2427778,12-03-2004
denver,co,fireball,180.0,12/12/2009,39.7391667,-104.9841667,08-20-2001
oakdale,ny,fireball,900.0,8/7/2011,40.7438889,-73.1391667,08-06-2011
reno,nv,light,12600.0,4/16/2005,39.5297222,-119.8127778,04-06-2005
inyokern,ca,circle,2.0,1/17/2004,35.6469444,-117.8116667,12-23-2003
boulder,co,light,60.0,7/16/2006,40.015,-105.27,10-10-1988
rio rancho,nm,light,3600.0,8/1/2003,35.2333333,-106.6638889,07-24-2003
north charleston,sc,light,180.0,7/4/2012,32.8544444,-79.975,10-10-2010
grand rapids,mi,oval,720.0,8/30/2013,42.9633333,-85.6680556,08-17-2013
portland,or,circle,1200.0,9/29/2004,45.5236111,-122.675,09-21-2004
eddyville,ky,light,1200.0,7/10/2010,37.0944444,-88.0802778,07-03-2010
belleville,wi,sphere,1200.0,11/20/2001,42.8597222,-89.5380556,08-30-2001
stephenville,tx,rectangle,180.0,1/21/2008,32.2205556,-98.2019444,01-08-2008
oakdale,ca,sphere,3600.0,8/24/2010,37.7666667,-120.8461111,08-23-2010
manassas,va,circle,40.0,10/2/1999,38.7508333,-77.4755556,09-22-1999
millville,pa,light,3600.0,7/19/2010,41.1202778,-76.5302778,07-10-2010
fairfax,vt,light,1200.0,10/14/2013,44.6652778,-73.0091667,10-05-2013
huntington beach,ca,egg,30.0,11/2/1999,33.6602778,-117.9983333,10-25-1999
kiawah island,sc,triangle,300.0,9/9/2003,32.6080556,-80.085,09-03-2003
new berlin,wi,chevron,60.0,10/2/1999,42.9763889,-88.1083333,09-22-1998
coalinga,ca,disk,3600.0,2/4/2013,36.1397222,-120.3591667,01-03-2013
eugene,or,changing,3.0,10/11/2005,44.0522222,-123.0855556,09-16-2005
salem,or,other,1800.0,3/23/2004,44.9430556,-123.0338889,06-01-1998
shelton,wa,light,15.0,4/24/2014,47.2152778,-123.0994444,04-18-2014
sherman oaks,ca,triangle,300.0,6/12/2008,34.1511111,-118.4483333,12-24-1994
murfreesboro,tn,other,360.0,10/8/2007,35.8455556,-86.3902778,09-01-2007
elkridge,md,light,1200.0,5/13/2012,39.2125,-76.7138889,04-11-2012
walden,ny,oval,300.0,1/28/1999,41.5611111,-74.1888889,12-03-1985
osprey,fl,cylinder,3600.0,2/3/2012,27.1958333,-82.4905556,07-07-2011
hudson,nh,light,5.0,10/14/2013,42.7647222,-71.4402778,10-10-2013
allegany (near),ny,disk,1200.0,12/12/2009,42.09,-78.4944444,08-05-2009
portsmouth,nh,oval,30.0,4/15/2000,43.0716667,-70.7630556,06-01-1999
mohawk,ny,circle,120.0,6/4/2004,43.0113889,-75.0044444,05-28-2004
chester,ca,light,120.0,12/12/2009,40.3063889,-121.2308333,10-26-2009
miami,fl,chevron,8.0,12/2/2000,25.7738889,-80.1938889,10-13-2000
newark,nj,fireball,180.0,7/6/2011,40.7355556,-74.1727778,07-05-2011
overland park,ks,sphere,600.0,7/3/2013,38.9822222,-94.6705556,06-07-2013
sapulpa,ok,triangle,180.0,3/21/2003,35.9986111,-96.1138889,11-14-1989
mexia,tx,egg,4.0,2/14/2010,31.6797222,-96.4819444,12-31-2009
raymond,nh,triangle,120.0,7/30/2002,43.0361111,-71.1838889,06-01-1977
shelbyville,tn,egg,1200.0,7/4/2012,35.4833333,-86.4602778,06-29-2012
bothell,wa,triangle,1800.0,10/12/2001,47.7625,-122.2041667,09-23-2001
dora,mo,light,3.0,2/14/2010,36.7769444,-92.2172222,06-01-2008
bremerton,wa,sphere,60.0,3/18/2014,47.5675,-122.6313889,03-13-2014
queen creek,az,sphere,1.0,1/31/2011,33.2486111,-111.6336111,01-19-2011
stafford,va,fireball,180.0,5/29/2012,38.4219444,-77.4086111,05-19-2012
hilliard,oh,oval,120.0,8/5/2012,40.0333333,-83.1583333,07-27-2012
willis,mi,light,1200.0,7/5/2013,42.1583333,-83.5580556,07-04-2013
new egypt,nj,circle,105.0,8/5/2001,40.0675,-74.5311111,07-10-1993
albuquerque,nm,light,60.0,6/2/2013,35.0844444,-106.6505556,04-28-2013
honolulu,hi,circle,180.0,8/27/2009,21.3069444,-157.8583333,08-15-2009
deer park,ny,light,300.0,9/30/2013,40.7616667,-73.3297222,09-15-2013
jessup,pa,changing,1200.0,5/13/2012,41.4686111,-75.5625,03-27-2012
brandon,ms,light,3600.0,3/11/2006,32.2730556,-89.9858333,02-26-2006
napa,ca,chevron,5.0,2/27/2000,38.2972222,-122.2844444,06-26-1988
highland,ca,disk,300.0,9/9/2004,34.1283333,-117.2077778,09-06-2004
tulare,ca,formation,5.0,2/4/2013,36.2077778,-119.3463889,01-01-2013
waldport,or,cigar,120.0,5/24/2005,44.4269444,-124.0675,07-23-2004
methuen,ma,changing,300.0,3/23/2004,42.7261111,-71.1913889,03-19-2004
harrington,de,rectangle,600.0,8/5/2009,38.9236111,-75.5780556,08-01-2009
woodbourne,ny,other,0.05,10/30/2012,41.7597222,-74.5944444,10-09-2012
nashville,tn,rectangle,15.0,6/3/2003,36.1658333,-86.7844444,06-01-2003
poulsbo,wa,cigar,1800.0,12/23/2002,47.7361111,-122.6452778,05-25-1999
baldwin,ny,fireball,240.0,1/10/2014,40.6563889,-73.6097222,01-01-2014
rockford,il,light,600.0,6/12/2002,42.2711111,-89.0938889,01-10-2001
fountain valley,ca,other,2700.0,10/30/2012,33.7091667,-117.9527778,09-28-2012
moravia,tx,light,60.0,12/3/2004,29.5894444,-96.9847222,11-06-2004
overland park,ks,fireball,10.0,8/7/2011,38.9822222,-94.6705556,07-27-2011
gila bend,az,flash,1.0,1/28/1999,32.9477778,-112.7161111,11-17-1998
pataskala,oh,triangle,300.0,7/14/2013,39.9955556,-82.6744444,07-06-2013
amber,ok,disk,3600.0,12/2/2013,35.1602778,-97.8788889,11-26-2013
ridgefield,ct,sphere,15.0,11/28/2007,41.2813889,-73.4986111,10-16-2007
two rivers,wi,oval,900.0,11/11/2013,44.1538889,-87.5691667,10-21-2013
manitowoc,wi,oval,60.0,1/19/2005,44.0886111,-87.6575,01-15-2005
chillicothe,oh,fireball,10.0,10/20/2005,39.3330556,-82.9825,10-19-2005
sahuarita,az,formation,900.0,3/11/2006,31.9575,-110.955,02-23-2006
mineral,va,light,15.0,8/5/2001,38.0105556,-77.9088889,06-25-2001
conestoga,pa,light,600.0,10/19/1999,39.9405556,-76.3466667,10-06-1999
west orange,nj,sphere,600.0,8/19/2012,40.7705556,-74.2330556,08-08-2012
maywood,ca,triangle,25.0,9/29/2004,33.9866667,-118.1844444,09-08-2004
trout lake,wa,light,60.0,8/30/2013,45.9975,-121.5269444,08-18-2013
columbus,ga,light,300.0,1/11/2005,32.4608333,-84.9877778,01-01-2005
oakley,ca,triangle,7200.0,9/24/2012,37.9975,-121.7113889,09-01-2012
tallahassee,fl,triangle,60.0,10/12/2001,30.4380556,-84.2808333,09-27-2001
south paris,me,sphere,30.0,7/26/2002,44.2236111,-70.5138889,07-02-2002
charlotte,nc,light,180.0,3/8/2007,35.2269444,-80.8433333,03-01-2007
grand rapids,mi,disk,300.0,10/11/2005,42.9633333,-85.6680556,02-15-1991
kingston,ny,fireball,120.0,3/18/2014,41.9269444,-73.9977778,03-07-2014
louisville,ky,formation,120.0,5/8/2014,38.2541667,-85.7594444,04-18-2014
murrieta,ca,triangle,20.0,7/16/2006,33.5538889,-117.2130556,06-14-2006
jacksonville,fl,triangle,120.0,4/11/2014,30.3319444,-81.6558333,04-07-2014
spokane,wa,diamond,1200.0,2/10/2012,47.6588889,-117.425,02-04-2012
spicewood,tx,circle,240.0,4/13/2010,30.4752778,-98.1561111,02-27-2010
albion,wi,light,60.0,4/18/2012,42.8794444,-89.0697222,03-16-2012
tucson,az,sphere,1200.0,1/12/2012,32.2216667,-110.9258333,12-18-2011
hermiston,or,cylinder,600.0,11/19/2012,45.8405556,-119.2883333,10-20-2012
north judson,in,light,10.0,7/29/2000,41.215,-86.7758333,07-21-2000
bozeman,mt,sphere,2700.0,1/16/2014,45.6797222,-111.0377778,12-31-2013
glide,or,sphere,30.0,7/16/2003,43.3016667,-123.1,06-15-1998
columbus,oh,light,5.0,8/30/2013,39.9611111,-82.9988889,08-04-2013
ellicott city,md,circle,120.0,11/11/2013,39.2672222,-76.7986111,10-25-2013
santa maria,ca,sphere,3.0,3/11/2003,34.9530556,-120.4347222,02-01-2003
manassas,va,triangle,3600.0,10/23/2013,38.7508333,-77.4755556,10-20-2013
florissant,mo,sphere,300.0,4/27/2007,38.7891667,-90.3225,06-01-1990
corning,ca,circle,2400.0,4/28/2001,39.9277778,-122.1780556,04-03-2001
kennebunk,me,triangle,180.0,8/30/2013,43.3838889,-70.5452778,08-11-2013
chocorua,nh,formation,180.0,12/12/2013,43.8788889,-71.2202778,12-11-2013
bastrop,la,rectangle,600.0,12/16/1999,32.7561111,-91.8722222,08-21-1978
donnelly,id,triangle,300.0,4/27/2007,44.7316667,-116.08,11-12-1996
kennewick,wa,light,10.0,12/12/2009,46.2113889,-119.1361111,09-08-2009
san diego,ca,other,3600.0,8/12/2008,32.7152778,-117.1563889,07-19-2008
stanford,ca,light,15.0,1/28/1999,37.4241667,-122.165,12-04-1998
new york,ny,disk,1200.0,3/13/2012,40.7141667,-74.0063889,03-07-2012
seattle,wa,light,420.0,3/27/2014,47.6063889,-122.3308333,03-27-2014
york,pa,other,900.0,12/14/2004,39.9625,-76.7280556,12-03-2004
imlay city,mi,fireball,300.0,8/5/2012,43.0247222,-83.0777778,07-29-2012
hackensack,nj,circle,480.0,8/30/2013,40.8858333,-74.0438889,08-24-2013
boston,ma,egg,900.0,1/10/2014,42.3583333,-71.0602778,01-01-2014
redondo beach,ca,fireball,3.0,1/28/1999,33.8491667,-118.3875,11-14-1997
litchfield,ct,light,7200.0,11/3/2005,41.7472222,-73.1891667,10-30-2005
rohnert park,ca,fireball,60.0,7/28/2010,38.3397222,-122.7,07-23-2010
daniels,wv,light,1800.0,2/14/2008,37.7430556,-81.1230556,12-31-2007
oak lawn,il,fireball,20.0,1/5/2011,41.7108333,-87.7580556,01-01-2011
milton,wv,light,60.0,4/18/2014,38.4344444,-82.1325,04-12-2014
phoenix,az,disk,60.0,6/23/2010,33.4483333,-112.0733333,06-30-1959
beltzhoover,pa,oval,1800.0,2/24/2007,40.4197222,-80.0022222,10-15-2006
harrisonville,ga,other,10.0,10/30/2006,33.1758333,-84.9886111,10-19-2006
shoreline,wa,other,300.0,7/5/2008,47.7558333,-122.3402778,06-20-2008
albuquerque,nm,circle,10.0,1/10/2014,35.0844444,-106.6505556,01-01-2014
cypress,ca,triangle,5.0,1/12/2012,33.8169444,-118.0363889,10-05-2011
bayfield,co,light,1800.0,1/3/2001,37.2255556,-107.5975,10-01-1998
iron mountain,mi,light,15.0,12/12/2009,45.8202778,-88.0658333,08-31-2009
pittsburgh,pa,triangle,10.0,4/15/2000,40.4405556,-79.9961111,03-26-2000
newburgh,ny,disk,600.0,10/8/2007,41.5033333,-74.0108333,11-15-1977
spokane (14 miles north of) &#44 deer park (1/2 mile south of),wa,disk,600.0,8/5/2001,47.6588889,-117.425,06-20-1975
owego,ny,circle,1.0,11/19/2012,42.1033333,-76.2625,11-16-2012
west covina,ca,disk,2700.0,3/10/2011,34.09,-117.8894444,02-28-2011
oakwood,ga,light,1.0,12/14/2004,34.2275,-83.8844444,12-06-2004
miltona,mn,circle,1200.0,9/21/2000,46.0441667,-95.2911111,02-14-1996
fostoria,mi,light,10.0,8/7/2007,43.2533333,-83.3719444,07-31-2007
joliet,il,formation,420.0,5/15/2013,41.525,-88.0816667,05-12-2013
san antonio,tx,light,60.0,1/21/2008,29.4238889,-98.4933333,01-20-2008
denver,co,disk,2.0,9/9/2013,39.7391667,-104.9841667,09-05-2013
fort smith,ar,oval,1800.0,12/12/2011,35.3858333,-94.3983333,10-29-2011
cicero,il,disk,6.0,11/4/2012,41.8455556,-87.7538889,09-29-2012
seattle,wa,oval,2.0,2/1/2007,47.6063889,-122.3308333,01-28-2007
lake stevens,wa,circle,30.0,7/3/2013,48.0152778,-122.0625,07-04-2010
holts summit,mo,disk,180.0,1/10/2014,38.6402778,-92.1222222,02-05-2011
corte madera,ca,fireball,4.0,8/19/2000,37.9255556,-122.5263889,08-13-2000
mountain home,ar,light,3600.0,8/7/2007,36.3352778,-92.385,07-03-2007
philadelphia,pa,disk,30.0,6/23/2004,39.9522222,-75.1641667,06-18-2004
missoula,mt,light,7.0,7/4/2012,46.8722222,-113.9930556,05-14-2012
lafayette,ga,circle,300.0,10/2/1999,34.7047222,-85.2819444,06-15-1990
lakewood,co,rectangle,1200.0,2/14/2014,39.7047222,-105.0808333,12-12-2013
fort collins,co,triangle,15.0,11/19/2012,40.5852778,-105.0838889,11-12-2012
lodi,ca,other,2.0,2/23/2000,38.1302778,-121.2713889,02-21-2000
topsail beach,nc,sphere,300.0,1/5/2011,34.365,-77.6308333,11-16-2010
picayune,ms,light,3.0,11/21/2010,30.5252778,-89.6794444,09-14-2010
ocala,fl,triangle,15.0,8/5/2001,29.1869444,-82.1402778,06-25-2001
meridian,ms,other,25.0,10/31/2008,32.3641667,-88.7036111,09-29-2008
st. petersburg,fl,oval,300.0,1/10/2009,27.7705556,-82.6794444,01-03-2009
north riverside,il,light,780.0,4/27/2007,41.8427778,-87.8230556,04-16-2007
kokomo (east of),in,light,900.0,8/12/2008,40.4863889,-86.1336111,07-22-2008
palm coast,fl,changing,3600.0,4/27/2007,29.5847222,-81.2080556,03-19-2007
gail,tx,circle,180.0,10/11/2005,32.7702778,-101.445,09-27-2005
charlotte,nc,oval,600.0,5/15/2006,35.2269444,-80.8433333,03-04-2006
bradford,pa,fireball,15.0,12/3/2004,41.9558333,-78.6441667,11-06-2004
port hueneme,ca,light,300.0,11/11/2013,34.1477778,-119.1941667,11-02-2013
corpus christi,tx,fireball,2.0,8/16/2002,27.8002778,-97.3961111,07-31-2002
filion,mi,diamond,1920.0,2/18/2001,43.8955556,-83.0036111,01-25-2001
tecumseh,ne,triangle,300.0,5/13/2012,40.3666667,-96.1958333,02-04-2012
san diego,ca,rectangle,3.0,1/10/2009,32.7152778,-117.1563889,11-28-2008
deltona,fl,other,60.0,1/22/2004,28.9002778,-81.2638889,01-18-2004
arcadia,ca,light,3600.0,1/11/2002,34.1397222,-118.0344444,12-14-2001
steubenville,oh,disk,600.0,8/10/1999,40.3697222,-80.6341667,08-15-1978
columbus (140 mi ese of),oh,triangle,15.0,3/11/2003,39.9611111,-82.9988889,03-07-2003
randle,wa,disk,1200.0,12/12/2009,46.5352778,-121.9558333,09-27-2009
pinole,ca,flash,420.0,4/27/2007,38.0044444,-122.2977778,03-25-2007
st. helens,or,sphere,60.0,7/14/2013,45.8641667,-122.8052778,07-07-2013
hobbs,nm,flash,2.0,3/16/2001,32.7025,-103.1355556,03-12-2001
bakersfield,ca,light,300.0,3/13/2012,35.3733333,-119.0177778,02-09-2012
conway,ar,other,4.0,4/3/2011,35.0886111,-92.4419444,04-01-2011
trinity,fl,fireball,60.0,12/5/2013,28.1805556,-82.6819444,12-03-2013
osseo,wi,disk,1800.0,9/13/2002,44.5722222,-91.2272222,08-02-2002
monroe,wa,fireball,300.0,8/5/2012,47.8555556,-121.9697222,07-20-2012
denton,tx,light,15.0,5/15/2006,33.2147222,-97.1327778,06-30-1984
anchorage,ak,formation,420.0,10/30/2012,61.2180556,-149.9002778,10-02-2012
plymouth,mn,other,1500.0,10/14/2013,45.0105556,-93.4552778,10-08-2013
cedar falls,ia,sphere,45.0,5/13/2012,42.5277778,-92.4452778,05-04-2012
buda,tx,triangle,900.0,11/11/2013,30.085,-97.84,11-02-2013
waxhaw,nc,sphere,2400.0,9/9/2013,34.9244444,-80.7436111,09-04-2013
sacramento,ca,disk,120.0,5/12/2011,38.5816667,-121.4933333,05-09-2011
cincinnati,oh,fireball,10.0,1/29/2002,39.1619444,-84.4569444,09-28-1998
la quinta,ca,other,1800.0,3/19/2002,33.6633333,-116.3091667,03-15-2002
kahului,hi,disk,7200.0,7/8/2004,20.8947222,-156.47,11-18-2001
newark (south of&#44 garden state pkwy.),nj,light,5.0,1/28/1999,40.7355556,-74.1727778,06-12-1997
altoona,pa,light,300.0,10/28/2002,40.5186111,-78.395,10-20-2002
clayton,nc,cylinder,600.0,4/4/2014,35.6505556,-78.4566667,03-26-2014
covina,ca,other,1800.0,2/22/2002,34.09,-117.8894444,02-11-2002
lafayette,co,light,900.0,3/23/2011,39.9936111,-105.0891667,03-20-2011
pensacola,fl,light,30.0,4/25/2002,30.4211111,-87.2169444,04-17-2002
new york city (brooklyn),ny,fireball,45.0,1/12/2012,40.7141667,-74.0063889,01-01-2012
kenilworth,nj,triangle,60.0,8/5/2001,40.6763889,-74.2911111,06-29-2001
fort smith,ar,formation,900.0,9/24/2003,35.3858333,-94.3983333,09-22-2003
walnut creek,ca,circle,5.0,9/9/2003,37.9063889,-122.0638889,09-04-2003
vero beach,fl,cigar,180.0,4/17/2008,27.6383333,-80.3975,04-14-2008
eugene,or,sphere,2700.0,3/19/2009,44.0522222,-123.0855556,02-27-2009
corolla,nc,sphere,300.0,8/21/2011,36.3811111,-75.8333333,08-08-2011
coeur d&#39alene,id,cigar,10.0,8/12/2008,47.6777778,-116.7794444,07-02-1950
speedwell,tn,other,45.0,7/10/2010,36.4586111,-83.8719444,07-05-2010
greenville,mi,circle,60.0,12/16/2005,43.1775,-85.2527778,11-13-2005
austin,tx,light,120.0,7/3/2013,30.2669444,-97.7427778,06-28-2013
chicago,il,circle,120.0,7/4/2012,41.85,-87.65,06-10-1964
elk city,ok,cigar,2.0,7/23/2000,35.4119444,-99.4038889,07-18-2000
mount holly,nc,light,2700.0,1/10/2009,35.2980556,-81.0161111,11-27-2008
kingston,pa,cigar,60.0,5/2/2014,41.2616667,-75.8972222,05-01-2014
oswego,ny,circle,45.0,8/28/2003,43.4552778,-76.5108333,08-24-2003
seattle,wa,light,180.0,8/30/2013,47.6063889,-122.3308333,07-19-2013
academy,tx,other,60.0,11/20/2002,30.9808333,-97.3413889,11-13-2002
moreno valley,ca,sphere,300.0,10/2/1999,33.9375,-117.2297222,02-17-1998
lufkin,tx,light,1200.0,2/3/2012,31.3380556,-94.7288889,01-27-2012
onalaska,wi,fireball,600.0,7/6/2011,43.8844444,-91.235,07-03-2011
harbor city,ca,triangle,1200.0,10/30/2012,33.79,-118.2969444,11-11-2011
east bridgewater,ma,formation,180.0,10/31/2008,42.0333333,-70.9597222,09-19-2008
sarasota,fl,other,15.0,12/5/2001,27.3361111,-82.5308333,11-28-2001
abilene,tx,oval,45.0,9/24/2012,32.4486111,-99.7327778,08-17-2012
louisville,ky,light,60.0,12/12/2011,38.2541667,-85.7594444,12-01-2011
warner robins,ga,sphere,600.0,11/28/2007,32.6208333,-83.6,10-23-2007
watson,ok,light,180.0,3/19/2009,34.4372222,-94.5572222,02-03-2009
magna,ut,light,60.0,7/16/2003,40.7091667,-112.1008333,06-30-2003
waynesburg,pa,light,180.0,5/29/2012,39.8963889,-80.1794444,05-28-2012
moore,ok,oval,180.0,11/21/2010,35.3394444,-97.4863889,10-30-2010
franklin county,al,chevron,120.0,12/12/2009,31.7144444,-87.4113889,09-09-2009
ithaca,ny,oval,120.0,7/5/2005,42.4405556,-76.4969444,06-18-2005
dillsburg,pa,formation,180.0,8/30/2013,40.1108333,-77.0352778,08-17-2013
las vegas,nv,light,600.0,7/3/2013,36.175,-115.1363889,06-25-2013
sunnyvale,ca,other,3600.0,7/23/2003,37.3688889,-122.0352778,11-19-1988
kirkland,wa,flash,300.0,7/14/2013,47.6816667,-122.2075,07-04-2013
exeter,ne,fireball,5.0,5/15/2006,40.6441667,-97.45,04-16-2006
avondale,az,light,37800.0,12/16/2005,33.4355556,-112.3488889,11-30-2005
clarksville,tx,sphere,600.0,6/4/2004,33.6105556,-95.0525,05-06-2004
torrington,ct,light,240.0,9/29/2004,41.8005556,-73.1216667,09-12-2004
chicago,il,light,180.0,3/19/2009,41.85,-87.65,02-14-2009
port orange,fl,oval,10.0,2/8/2011,29.1380556,-80.9958333,01-08-2011
lake isabella,ca,light,2400.0,6/12/2002,35.6180556,-118.4722222,05-25-2002
danbury,ct,disk,300.0,1/12/2012,41.3947222,-73.4544444,07-25-1977
camarillo,ca,cigar,300.0,8/5/2012,34.2163889,-119.0366667,07-28-2012
tulsa,ok,chevron,5.0,10/2/1999,36.1538889,-95.9925,10-02-1999
palatine,il,circle,300.0,10/8/2007,42.1102778,-88.0341667,09-09-2007
lafayette,co,circle,60.0,7/23/2003,39.9936111,-105.0891667,07-08-2003
vernal,ut,sphere,300.0,12/12/2009,40.4555556,-109.5280556,09-25-2009
costa mesa,ca,flash,800.0,1/5/2011,33.6411111,-117.9177778,12-09-2010
denton,ne,other,420.0,6/12/2007,40.7377778,-96.8441667,05-05-2007
santa clarita,ca,circle,600.0,1/30/2014,34.3916667,-118.5416667,01-29-2014
sarasota,fl,sphere,35.0,3/28/2004,27.3361111,-82.5308333,03-18-2004
olney,il,chevron,10.0,2/16/1999,38.7308333,-88.0852778,01-20-1999
auburn,wa,light,2400.0,7/5/2013,47.3075,-122.2272222,07-04-2013
surprise,az,other,120.0,11/3/2005,33.6305556,-112.3325,10-24-2005
ronkonkoma,ny,circle,1200.0,8/5/2012,40.8152778,-73.1127778,07-12-2012
broken arrow,ok,oval,900.0,12/5/2013,36.0525,-95.7905556,10-24-2013
milford,nh,triangle,300.0,11/11/2013,42.8352778,-71.6494444,10-23-2013
antioch,ca,other,1800.0,2/14/2010,38.005,-121.8047222,01-01-2010
houston,tx,diamond,120.0,6/18/2004,29.7630556,-95.3630556,07-15-1957
eustis,fl,changing,360.0,2/14/2008,28.8525,-81.6855556,02-01-2008
mesa,az,light,3.0,12/16/2005,33.4222222,-111.8219444,12-04-2005
indianapolis,in,fireball,600.0,10/8/2007,39.7683333,-86.1580556,09-02-2007
acme,mi,light,60.0,7/30/2002,44.7719444,-85.5013889,07-26-2002
petoskey,mi,sphere,7.0,2/14/2006,45.3733333,-84.9552778,04-01-2005
lakeland,fl,oval,60.0,4/9/2004,28.0391667,-81.95,04-04-2004
bellmore,ny,disk,1800.0,5/11/2000,40.6686111,-73.5275,10-10-1970
maize,ks,other,300.0,2/14/2008,37.7791667,-97.4669444,01-28-2008
anderson,sc,cigar,300.0,1/11/2005,34.5033333,-82.6502778,12-16-2004
laporte,in,triangle,300.0,2/1/2007,41.6105556,-86.7225,01-20-2007
